Indicator ID,Total,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,61068,141,2337,2400,2472,2567,2575,2518,2461,2314,571
GrossProfit,59136,141,2527,2621,2558,2558,2397,2280,2189,2020,421
OtherNonoperatingIncomeExpense,59028,104,2154,2292,2349,2450,2537,2522,2455,2327,486
PreferredStockSharesOutstanding,58617,86,2155,2266,2423,2559,2550,2448,2352,2173,527
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,58275,8,1407,1816,2090,2362,2715,2791,2827,2762,647
ProfitLoss,57753,96,2320,2342,2430,2329,2278,2129,2223,2481,623
DeferredTaxAssetsLiabilitiesNet,57051,84,1404,3125,3110,3130,2204,1931,1892,1713,424
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingNumber,56568,73,1063,2949,2803,2710,2479,2248,2115,1949,467
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,56376,78,2322,2364,2363,2361,2314,2221,2140,2090,539
FiniteLivedIntangibleAssetsNet,56076,65,1230,2367,2422,2542,2491,2438,2405,2269,463
AllowanceForDoubtfulAccountsReceivableCurrent,55791,109,2159,2575,2514,2445,2329,2189,2050,1864,363
IncomeTaxesPaid,55089,83,2491,2665,2539,2459,2255,2050,1857,1602,362
FiniteLivedIntangibleAssetsAmortizationExpenseYearTwo,54810,0,108,2462,2651,2720,2633,2557,2450,2260,429
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,54798,70,2264,2353,2423,2403,2277,2143,2046,1884,403
AllocatedShareBasedCompensationExpense,54474,53,983,2409,2467,2532,2413,2307,2307,2183,504
FiniteLivedIntangibleAssetsAmortizationExpenseYearThree,54018,0,103,2427,2598,2676,2604,2530,2426,2227,415
EarningsPerShareBasicAndDiluted,53838,25,2129,2248,2289,2352,2245,2129,2026,1953,550
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,53787,74,1027,2446,2404,2444,2397,2303,2211,2135,488
DeferredTaxLiabilitiesPropertyPlantAndEquipment,53763,55,1027,2282,2378,2431,2453,2365,2285,2169,476
FiniteLivedIntangibleAssetsAmortizationExpenseNextTwelveMonths,53760,0,104,2425,2590,2654,2600,2527,2408,2189,423
PrepaidExpenseAndOtherAssetsCurrent,53694,24,1988,2149,2202,2315,2287,2195,2131,2071,536
EmployeeRelatedLiabilitiesCurrent,53289,105,1646,2252,2290,2356,2294,2214,2131,2006,469
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingWeightedAverageExercisePrice,53016,71,1047,2789,2619,2543,2310,2090,1970,1807,426
IntangibleAssetsNetExcludingGoodwill,52917,119,2253,2286,2274,2272,2161,2060,1995,1863,356
FiniteLivedIntangibleAssetsAmortizationExpenseYearFour,52557,0,98,2339,2515,2604,2544,2474,2375,2166,404
NonoperatingIncomeExpense,51627,52,2161,2168,2136,2166,2124,1995,2009,1958,440
DeferredIncomeTaxLiabilities,50934,4,289,1725,1932,2128,2546,2607,2605,2530,612
ProceedsFromIssuanceOfCommonStock,50844,72,2327,2265,2247,2208,2024,1880,1878,1676,371
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,50658,105,2066,2093,2161,2162,2130,2045,1982,1834,308
SellingGeneralAndAdministrativeExpense,50367,149,2173,2217,2185,2151,2022,1949,1861,1740,342
PaymentsForRepurchaseOfCommonStock,50367,150,1985,2052,2064,2113,2180,2125,1936,1832,352
LongTermDebt,50331,55,1154,2247,2286,2282,2225,2124,2062,1921,421
IncomeTaxesPaidNet,50130,92,1787,1990,2020,2062,2082,2061,2105,2069,442
FiniteLivedIntangibleAssetsAmortizationExpenseYearFive,49587,0,89,2182,2370,2458,2402,2348,2255,2040,385
EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,49230,60,810,2138,2165,2247,2236,2148,2104,2006,496
IncomeTaxReconciliationStateAndLocalIncomeTaxes,49056,33,791,2247,2231,2255,2219,2132,2052,1958,434
DeferredTaxLiabilities,48633,77,1293,2110,2086,2060,2210,2142,2020,1854,359
LeaseAndRentalExpense,48570,59,920,2296,2290,2329,2225,2113,1991,1809,158
ResearchAndDevelopmentExpense,47919,73,1711,1954,1984,2061,2026,1947,1922,1838,457
TreasuryStockValue,47076,125,2139,2127,2075,2044,1968,1780,1669,1494,271
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearTwo,46797,52,961,2117,2133,2175,2106,2011,1939,1772,333
OtherComprehensiveIncomeLossNetOfTax,46758,1,59,1939,2340,2454,2394,2189,2042,1834,334
OperatingLeasesRentExpenseNet,46671,16,823,2088,2173,2206,2188,2068,1987,1848,160
FiniteLivedIntangibleAssetsGross,46089,59,888,2028,2078,2114,2079,2012,1950,1821,334
DepreciationAndAmortization,45834,87,1841,2015,2000,1997,1930,1806,1690,1596,316
StockIssuedDuringPeriodSharesStockOptionsExercised,45744,35,1080,2271,2261,2268,2022,1784,1671,1513,343
CurrentForeignTaxExpenseBenefit,45522,78,1068,1996,2025,2074,2008,1946,1917,1763,299
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearThree,45471,48,952,2050,2069,2103,2052,1965,1889,1720,309
UnrecognizedTaxBenefitsIncreasesResultingFromCurrentPeriodTaxPositions,45135,83,1160,1987,2011,2059,1996,1942,1866,1676,265
PreferredStockValue,44874,77,1662,1899,1970,1981,1898,1834,1742,1590,305
OtherAccruedLiabilitiesCurrent,44652,61,1043,1969,1972,2020,1956,1879,1814,1737,433
LongTermDebtMaturitiesRepaymentsOfPrincipalInNextTwelveMonths,44637,49,918,2027,2045,2089,2002,1899,1868,1680,302
DeferredTaxLiabilitiesNoncurrent,44583,127,1970,2087,2115,2148,2025,1754,1396,1118,121
LongTermDebtNoncurrent,44169,100,1687,1853,1863,1886,1848,1766,1739,1634,347
NetIncomeLossAvailableToCommonStockholdersBasic,44097,19,1605,1887,1870,1929,1885,1793,1739,1631,341
DeferredTaxLiabilitiesOther,43950,60,943,1911,1952,2004,1966,1903,1852,1704,355
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableNumber,43788,59,881,2305,2183,2099,1908,1731,1626,1461,343
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,43617,30,1011,1153,1741,2780,2939,2877,1481,468,59
IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,43494,70,1091,1813,1904,1960,1956,1881,1824,1683,316
IncreaseDecreaseInOtherOperatingAssets,43230,97,2024,1962,1894,1859,1745,1614,1515,1383,317
ProceedsFromStockOptionsExercised,43203,97,1680,1815,1829,1899,1768,1633,1687,1600,393
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFour,43182,44,928,1928,1957,2015,1945,1863,1799,1638,277
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,42963,1,227,1646,1965,2105,2060,2004,1930,1863,520
DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsShareBasedCompensationCost,42873,50,630,1805,1859,1921,1970,1945,1874,1782,455
EffectOfExchangeRateOnCashAndCashEquivalents,42834,155,1954,1959,1917,1897,1833,1721,1620,1111,111
TreasuryStockShares,42786,112,1944,1940,1872,1848,1778,1626,1531,1367,244
IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,42525,16,477,1867,1901,1959,1970,1877,1948,1777,383
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableWeightedAverageExercisePrice,41061,59,854,2176,2044,1964,1772,1608,1524,1371,315
ProvisionForDoubtfulAccounts,40881,58,1630,1823,1776,1730,1677,1614,1544,1467,308
InterestPaidNet,40650,53,1106,1241,1267,1269,1240,1209,2159,3207,799
DeferredForeignIncomeTaxExpenseBenefit,40233,71,946,1727,1756,1820,1794,1748,1722,1574,253
EffectiveIncomeTaxRateReconciliationOtherAdjustments,40014,56,753,1809,1807,1826,1781,1706,1691,1562,347
OtherAssetsCurrent,39687,106,1595,1737,1744,1723,1622,1536,1506,1384,276
UnrecognizedTaxBenefitsIncreasesResultingFromPriorPeriodTaxPositions,39645,79,1067,1818,1826,1838,1762,1677,1561,1415,172
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFive,39633,48,901,1736,1810,1828,1801,1710,1655,1492,230
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,39411,23,802,959,1549,2625,2772,2718,1338,320,31
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingIntrinsicValue,39312,62,845,1937,1912,1891,1713,1576,1506,1335,327
RepaymentsOfLongTermDebt,39267,73,1656,1658,1676,1685,1632,1553,1501,1406,249
IncomeLossFromContinuingOperationsBeforeIncomeTaxesForeign,39153,72,879,1624,1699,1766,1767,1723,1679,1566,276
ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsExercisesInPeriodWeightedAverageExercisePrice,39036,0,106,1999,2068,2085,1856,1626,1545,1412,315
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,38919,27,862,976,1530,2538,2705,2597,1323,371,44
ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageExercisePrice,38766,0,105,2003,1999,2039,1835,1636,1544,1415,346
IncomeTaxReconciliationOtherAdjustments,38541,19,602,1729,1778,1776,1744,1663,1631,1559,346
IncreaseDecreaseInAccruedLiabilities,38232,69,1710,1708,1626,1638,1548,1454,1382,1277,332
SalesRevenueNet,37755,119,1829,1878,1861,1864,1783,1689,1463,99,0
InvestmentIncomeInterest,37473,102,2019,1966,1723,1543,1378,1254,1187,1080,239
StockIssuedDuringPeriodValueStockOptionsExercised,37290,75,1605,1564,1615,1662,1526,1383,1350,1302,348
AdvertisingExpense,36906,51,734,1799,1767,1735,1658,1531,1441,1311,275
PaymentsToAcquireBusinessesNetOfCashAcquired,36711,97,1429,1475,1489,1613,1609,1522,1486,1328,189
UnrecognizedTaxBenefitsThatWouldImpactEffectiveTaxRate,36198,75,981,1626,1620,1647,1578,1537,1477,1331,194
LongTermDebtCurrent,36144,74,1374,1547,1534,1555,1541,1465,1403,1285,270
NetIncomeLossAttributableToNoncontrollingInterest,35673,57,1405,1448,1508,1554,1538,1488,1395,1279,219
DefinedContributionPlanCostRecognized,35502,44,745,1549,1601,1623,1586,1519,1491,1375,301
MinorityInterest,35451,62,1432,1474,1509,1515,1524,1441,1373,1279,208
ProceedsFromSaleOfPropertyPlantAndEquipment,35076,76,1507,1553,1560,1511,1411,1361,1271,1162,280
OperatingLossCarryforwards,35073,14,396,1756,1749,1730,1576,1495,1386,1328,261
UnrecognizedTaxBenefitsDecreasesResultingFromPriorPeriodTaxPositions,34701,71,998,1537,1535,1584,1498,1481,1414,1272,177
EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,34443,19,355,1395,1496,1561,1604,1568,1574,1501,408
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,34383,66,1155,1458,1498,1513,1486,1447,1382,1259,197
SharebasedCompensationArrangementBySharebasedPaymentAwardOptionsExercisableIntrinsicValue1,33924,23,755,1700,1696,1660,1487,1349,1260,1116,262
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisesInPeriodTotalIntrinsicValue,33420,60,829,1622,1619,1619,1477,1333,1247,1113,221
DeferredRevenueCurrent,33378,62,1395,1503,1512,1560,1514,1439,1392,644,105
UnrecognizedTaxBenefitsReductionsResultingFromLapseOfApplicableStatuteOfLimitations,33183,69,929,1529,1512,1532,1461,1400,1328,1158,143
LongTermDebtMaturitiesRepaymentsOfPrincipalAfterYearFive,32871,35,744,1457,1492,1529,1479,1413,1373,1247,188
CostsAndExpenses,32826,49,1407,1428,1410,1403,1359,1305,1231,1127,223
StockIssuedDuringPeriodValueNewIssues,32805,26,1283,1189,1300,1407,1347,1367,1408,1296,312
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodGross,32547,0,178,1390,1435,1578,1567,1479,1453,1389,380
ValuationAllowanceDeferredTaxAssetChangeInAmount,32151,19,439,1407,1463,1516,1482,1393,1390,1303,305
OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,32118,1,96,1474,1588,1624,1547,1480,1409,1289,198
PrepaidExpenseCurrent,32085,45,1245,1365,1377,1386,1306,1269,1247,1188,267
IncrementalCommonSharesAttributableToShareBasedPaymentArrangements,32046,47,757,1348,1414,1457,1451,1420,1340,1236,212
ProceedsFromIssuanceOfLongTermDebt,31308,54,1186,1258,1354,1392,1376,1312,1221,1106,177
EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognized,31008,25,713,1534,1483,1441,1348,1277,1206,1073,236
OtherLiabilitiesCurrent,30801,67,1149,1279,1297,1324,1296,1249,1223,1140,243
OtherAssets,30738,10,1302,1361,1373,1384,1289,1184,1100,1002,241
PaymentsOfDividendsCommonStock,30498,64,1202,1273,1270,1307,1277,1242,1199,1120,212
GainLossOnSaleOfPropertyPlantEquipment,30093,66,1319,1346,1339,1311,1211,1139,1049,980,271
DeferredTaxAssetsNetCurrent,29637,157,2075,2152,2022,1893,1011,363,135,59,12
CostOfGoodsSold,29595,88,1449,1478,1467,1454,1370,1299,1165,95,0
IncreaseDecreaseInDeferredRevenue,29580,56,1306,1339,1335,1360,1330,1280,1230,513,111
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageGrantDateFairValue,29322,51,621,1540,1469,1467,1287,1139,1026,941,233
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedDividendRate,29265,51,609,1546,1437,1423,1255,1131,1048,1008,247
AmortizationOfFinancingCosts,29172,22,958,1202,1262,1326,1262,1242,1164,1045,241
ExcessTaxBenefitFromShareBasedCompensationFinancingActivities,29148,153,1388,1470,1532,1567,1447,1180,615,342,22
OtherComprehensiveIncomeUnrealizedHoldingGainLossOnSecuritiesArisingDuringPeriodNetOfTax,28989,66,1298,1373,1298,1266,1205,1093,999,862,203
UnrecognizedTaxBenefitsIncomeTaxPenaltiesAndInterestAccrued,28740,52,650,1203,1266,1319,1265,1261,1220,1100,244
CommonStockDividendsPerShareDeclared,28389,57,1011,1159,1172,1207,1208,1204,1189,1075,181
IncomeLossFromEquityMethodInvestments,28386,40,1110,1197,1220,1240,1206,1175,1125,999,150
PaymentsForProceedsFromOtherInvestingActivities,28320,74,1119,1141,1205,1261,1230,1169,1119,1018,104
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsForfeituresInPeriod,28017,32,511,1421,1354,1339,1258,1142,1057,970,255
StockIssuedDuringPeriodValueShareBasedCompensation,27864,72,1201,1112,1121,1177,1137,1126,1094,1043,205
InterestPayableCurrent,27777,12,811,1223,1257,1267,1228,1162,1111,1027,161
GainsLossesOnExtinguishmentOfDebt,27675,33,996,1090,1153,1169,1155,1179,1192,1110,148
DeferredTaxAssetsNetNoncurrent,27561,102,1365,1469,1400,1344,1145,930,756,610,66
IncreaseDecreaseInOtherOperatingLiabilities,27417,65,1259,1222,1175,1154,1122,1039,991,911,201
ProfessionalFees,27279,17,1199,1305,1252,1184,1079,1023,921,878,235
InterestIncomeExpenseNet,27012,20,1034,1117,1152,1183,1143,1088,1026,979,262
AccountsPayableAndAccruedLiabilitiesCurrent,26805,15,1030,1164,1232,1208,1125,1024,988,944,205
OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToParent,26697,12,393,1101,1205,1213,1195,1206,1194,1139,241
FiniteLivedIntangibleAssetsAmortizationExpenseAfterYearFive,26211,0,54,1024,1177,1258,1272,1285,1261,1149,257
UnrecognizedTaxBenefitsDecreasesResultingFromSettlementsWithTaxingAuthorities,26187,60,777,1196,1177,1225,1142,1115,1030,913,94
GoodwillImpairmentLoss,26076,35,555,829,976,1121,1244,1259,1256,1187,230
OtherNoncashIncomeExpense,25620,17,974,1038,1074,1082,1085,1073,1051,972,174
AccruedIncomeTaxesCurrent,25458,84,1056,1200,1178,1120,1036,954,906,824,128
CostOfRevenue,25224,50,971,1017,1019,1071,1054,1009,1026,995,196
Cash,25083,31,1101,1237,1194,1078,1013,915,844,784,164
AssetImpairmentCharges,25068,32,774,993,1107,1111,1100,1080,1048,946,165
IncomeLossFromContinuingOperations,25005,57,1135,1284,1302,1242,1062,871,714,577,91
DividendsCommonStockCash,24909,60,940,1047,1046,1080,1044,1025,982,907,172
EmployeeServiceShareBasedCompensationTaxBenefitFromCompensationExpense,24903,51,737,1103,1110,1130,1088,1044,1002,895,141
ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsForfeituresInPeriodWeightedAverageExercisePrice,24708,0,63,1269,1262,1262,1189,1072,987,909,223
AllowanceForDoubtfulAccountsReceivable,24666,13,412,1079,1057,1120,1113,1095,1055,1045,233
DeferredTaxLiabilitiesGoodwillAndIntangibleAssetsIntangibleAssets,24582,28,473,1032,1042,1118,1125,1104,1056,1003,213
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsAccruedLiabilities,24345,26,426,1077,1087,1128,1100,1060,1023,946,242
IncreaseDecreaseInPrepaidExpense,24225,33,1070,1135,1060,1030,973,902,857,810,205
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsRiskFreeInterestRate,24024,49,581,1353,1243,1148,997,874,791,784,188
CapitalExpendituresIncurredButNotYetPaid,23736,23,588,746,889,1026,1080,1102,1128,1086,244
ProceedsFromPaymentsForOtherFinancingActivities,23676,46,853,917,952,1026,1016,1010,1023,951,98
PaymentsOfDebtIssuanceCosts,23454,33,789,863,918,989,1027,1038,1019,952,190
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,23394,16,493,948,1067,1089,1078,1052,1006,911,138
GoodwillAcquiredDuringPeriod,23283,44,587,956,988,1084,1067,1016,979,900,140
ShareBasedCompensationArrangementByShareBasedPaymentAwardNumberOfSharesAvailableForGrant,23277,41,572,1205,1146,1133,1009,935,834,741,143
EffectiveIncomeTaxRateReconciliationForeignIncomeTaxRateDifferential,22878,41,493,923,957,999,1047,1027,1037,930,172
AvailableForSaleSecurities,22611,5,726,762,1143,1194,1106,1073,996,445,87
IncomeTaxReconciliationForeignIncomeTaxRateDifferential,22500,25,440,956,986,1007,1010,977,984,940,175
WeightedAverageNumberDilutedSharesOutstandingAdjustment,22428,35,525,1043,1019,1043,989,949,902,820,151
ForeignCurrencyTransactionGainLossBeforeTax,22428,32,723,932,929,968,973,940,937,865,177
IncreaseDecreaseInAccruedIncomeTaxesPayable,22128,77,1030,1003,985,942,868,829,798,708,136
CostOfGoodsAndServicesSold,22080,56,839,835,804,765,704,660,686,1652,359
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedVolatilityRate,22044,44,507,1245,1168,1057,908,813,720,713,173
LaborAndRelatedExpense,21933,4,1020,986,933,904,874,832,785,758,215
DeferredTaxAssetsInventory,21543,34,432,1013,995,1001,961,917,873,797,158
TreasuryStockValueAcquiredCostMethod,21522,82,934,935,858,922,945,848,785,739,126
AmortizationOfDebtDiscountPremium,21297,29,808,922,972,1000,930,824,773,709,132
SalesRevenueGoodsNet,21243,59,1013,1030,1014,1040,1016,964,867,77,1
PaymentsOfDividends,21129,45,726,845,918,937,905,887,859,784,137
DeferredTaxAssetsTaxCreditCarryforwards,20961,19,331,830,866,883,967,970,976,940,205
CapitalLeasesFutureMinimumPaymentsDueCurrent,20412,23,391,963,974,970,954,874,836,766,53
CapitalLeasesFutureMinimumPaymentsDueInTwoYears,20385,22,390,948,964,979,965,874,827,774,52
IncreaseDecreaseInRestrictedCash,20379,25,992,1005,1022,1017,1013,925,680,108,6
AvailableForSaleSecuritiesAmortizedCost,20274,19,445,1014,986,1025,1007,956,888,354,64
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsAllowanceForDoubtfulAccounts,20199,17,324,996,971,956,918,843,821,734,153
IncomeLossFromContinuingOperationsPerBasicShare,20145,63,909,960,964,942,881,763,648,517,68
